"Step","smart-pyramid-7 - mean meta-episode return","smart-pyramid-7 - mean meta-episode return__MIN","smart-pyramid-7 - mean meta-episode return__MAX"
"0","-2.4125","-2.4125","-2.4125"
"1","-2.3875","-2.3875","-2.3875"
"2","-2.279166666666667","-2.279166666666667","-2.279166666666667"
"3","-2.203125","-2.203125","-2.203125"
"4","-2.0925","-2.0925","-2.0925"
"5","-1.9875","-1.9875","-1.9875"
"6","-1.8928571428571428","-1.8928571428571428","-1.8928571428571428"
"7","-1.821875","-1.821875","-1.821875"
"8","-1.7527777777777778","-1.7527777777777778","-1.7527777777777778"
"9","-1.71","-1.71","-1.71"
"10","-1.6681818181818182","-1.6681818181818182","-1.6681818181818182"
"11","-1.6375","-1.6375","-1.6375"
"12","-1.574","-1.574","-1.574"
"13","-1.478","-1.478","-1.478"
"14","-1.401","-1.401","-1.401"
"15","-1.358","-1.358","-1.358"
"16","-1.31","-1.31","-1.31"
"17","-1.262","-1.262","-1.262"
"18","-1.268","-1.268","-1.268"
"19","-1.252","-1.252","-1.252"
"20","-1.231","-1.231","-1.231"
"21","-1.205","-1.205","-1.205"
"22","-1.21","-1.21","-1.21"
"23","-1.192","-1.192","-1.192"
"24","-1.173","-1.173","-1.173"
"25","-1.167","-1.167","-1.167"
"26","-1.15","-1.15","-1.15"
"27","-1.129","-1.129","-1.129"
"28","-1.114","-1.114","-1.114"
"29","-1.128","-1.128","-1.128"
"30","-1.108","-1.108","-1.108"
"31","-1.097","-1.097","-1.097"
"32","-1.09","-1.09","-1.09"
"33","-1.092","-1.092","-1.092"
"34","-1.092","-1.092","-1.092"
"35","-1.098","-1.098","-1.098"
"36","-1.109","-1.109","-1.109"
"37","-1.11","-1.11","-1.11"
"38","-1.126","-1.126","-1.126"
"39","-1.119","-1.119","-1.119"
"40","-1.118","-1.118","-1.118"
"41","-1.123","-1.123","-1.123"
"42","-1.119","-1.119","-1.119"
"43","-1.118","-1.118","-1.118"
"44","-1.112","-1.112","-1.112"
"45","-1.119","-1.119","-1.119"
"46","-1.118","-1.118","-1.118"
"47","-1.12","-1.12","-1.12"
"48","-1.101","-1.101","-1.101"
"49","-1.109","-1.109","-1.109"
"50","-1.103","-1.103","-1.103"
"51","-1.125","-1.125","-1.125"
"52","-1.145","-1.145","-1.145"
"53","-1.133","-1.133","-1.133"
"54","-1.14","-1.14","-1.14"
"55","-1.169","-1.169","-1.169"
"56","-1.171","-1.171","-1.171"
"57","-1.169","-1.169","-1.169"
"58","-1.17","-1.17","-1.17"
"59","-1.179","-1.179","-1.179"
"60","-1.174","-1.174","-1.174"
"61","-1.186","-1.186","-1.186"
"62","-1.173","-1.173","-1.173"
"63","-1.154","-1.154","-1.154"
"64","-1.157","-1.157","-1.157"
"65","-1.161","-1.161","-1.161"
"66","-1.154","-1.154","-1.154"
"67","-1.128","-1.128","-1.128"
"68","-1.129","-1.129","-1.129"
"69","-1.129","-1.129","-1.129"
"70","-1.132","-1.132","-1.132"
"71","-1.127","-1.127","-1.127"
"72","-1.11","-1.11","-1.11"
"73","-1.104","-1.104","-1.104"
"74","-1.109","-1.109","-1.109"
"75","-1.114","-1.114","-1.114"
"76","-1.106","-1.106","-1.106"
"77","-1.066","-1.066","-1.066"
"78","-1.075","-1.075","-1.075"
"79","-1.084","-1.084","-1.084"
"80","-1.077","-1.077","-1.077"
"81","-1.082","-1.082","-1.082"
"82","-1.083","-1.083","-1.083"
"83","-1.099","-1.099","-1.099"
"84","-1.11","-1.11","-1.11"
"85","-1.114","-1.114","-1.114"
"86","-1.107","-1.107","-1.107"
"87","-1.11","-1.11","-1.11"
"88","-1.119","-1.119","-1.119"
"89","-1.139","-1.139","-1.139"
"90","-1.143","-1.143","-1.143"
"91","-1.135","-1.135","-1.135"
"92","-1.133","-1.133","-1.133"
"93","-1.127","-1.127","-1.127"
"94","-1.117","-1.117","-1.117"
"95","-1.094","-1.094","-1.094"
"96","-1.085","-1.085","-1.085"
"97","-1.085","-1.085","-1.085"
"98","-1.093","-1.093","-1.093"
"99","-1.095","-1.095","-1.095"
"100","-1.076","-1.076","-1.076"
"101","-1.068","-1.068","-1.068"
"102","-1.052","-1.052","-1.052"
"103","-1.047","-1.047","-1.047"
"104","-1.047","-1.047","-1.047"
"105","-1.055","-1.055","-1.055"
"106","-1.055","-1.055","-1.055"
"107","-1.066","-1.066","-1.066"
"108","-1.074","-1.074","-1.074"
"109","-1.086","-1.086","-1.086"
"110","-1.085","-1.085","-1.085"
"111","-1.089","-1.089","-1.089"
