"Step","celestial-elevator-24 - mean evaluation reward","celestial-elevator-24 - mean evaluation reward__MIN","celestial-elevator-24 - mean evaluation reward__MAX"
"0","5","5","5"
"1","5","5","5"
"2","5","5","5"
"3","5","5","5"
"4","5","5","5"
"5","5","5","5"
"6","5","5","5"
"7","5","5","5"
"8","5","5","5"
"9","5","5","5"
"10","5","5","5"
"11","6","6","6"
"12","6.25","6.25","6.25"
"13","6.21875","6.21875","6.21875"
"14","6.34375","6.34375","6.34375"
"15","6.34375","6.34375","6.34375"
"16","6.46875","6.46875","6.46875"
"17","6.375","6.375","6.375"
"18","6.4375","6.4375","6.4375"
"19","6.40625","6.40625","6.40625"
"20","6.46875","6.46875","6.46875"
"21","6.5625","6.5625","6.5625"
"22","6.59375","6.59375","6.59375"
"23","6.65625","6.65625","6.65625"
"24","6.65625","6.65625","6.65625"
"25","6.65625","6.65625","6.65625"
"26","6.4375","6.4375","6.4375"
"27","6.375","6.375","6.375"
"28","6.25","6.25","6.25"
"29","6.5625","6.5625","6.5625"
"30","6.71875","6.71875","6.71875"
"31","6.625","6.625","6.625"
"32","6.71875","6.71875","6.71875"
"33","6.71875","6.71875","6.71875"
"34","6.71875","6.71875","6.71875"
"35","6.6875","6.6875","6.6875"
"36","6.6875","6.6875","6.6875"
"37","6.6875","6.6875","6.6875"
"38","6.6875","6.6875","6.6875"
"39","6.6875","6.6875","6.6875"
"40","6.6875","6.6875","6.6875"
"41","6.84375","6.84375","6.84375"
"42","6.8125","6.8125","6.8125"
"43","6.8125","6.8125","6.8125"
"44","6.8125","6.8125","6.8125"
"45","6.8125","6.8125","6.8125"
"46","6.8125","6.8125","6.8125"
"47","6.8125","6.8125","6.8125"
"48","6.8125","6.8125","6.8125"
"49","6.75","6.75","6.75"
"50","6.75","6.75","6.75"
"51","6.8125","6.8125","6.8125"
"52","6.8125","6.8125","6.8125"
"53","6.78125","6.78125","6.78125"
"54","6.84375","6.84375","6.84375"
"55","6.78125","6.78125","6.78125"
"56","6.78125","6.78125","6.78125"
"57","6.8125","6.8125","6.8125"
"58","6.78125","6.78125","6.78125"
"59","6.8125","6.8125","6.8125"
"60","6.8125","6.8125","6.8125"
"61","6.84375","6.84375","6.84375"
"62","6.6875","6.6875","6.6875"
"63","6.84375","6.84375","6.84375"
"64","6.84375","6.84375","6.84375"
"65","6.8125","6.8125","6.8125"
"66","6.8125","6.8125","6.8125"
"67","6.8125","6.8125","6.8125"
"68","6.8125","6.8125","6.8125"
"69","6.75","6.75","6.75"
"70","6.78125","6.78125","6.78125"
"71","6.78125","6.78125","6.78125"
"72","6.78125","6.78125","6.78125"
"73","6.8125","6.8125","6.8125"
"74","6.8125","6.8125","6.8125"
"75","6.8125","6.8125","6.8125"
"76","6.8125","6.8125","6.8125"
"77","6.8125","6.8125","6.8125"
"78","6.8125","6.8125","6.8125"
"79","6.8125","6.8125","6.8125"
"80","6.8125","6.8125","6.8125"
"81","6.8125","6.8125","6.8125"
"82","6.75","6.75","6.75"
"83","7.0625","7.0625","7.0625"
"84","7.03125","7.03125","7.03125"
"85","7.0625","7.0625","7.0625"
"86","7.03125","7.03125","7.03125"
"87","7.0625","7.0625","7.0625"
"88","7.0625","7.0625","7.0625"
"89","7.0625","7.0625","7.0625"
"90","7.0625","7.0625","7.0625"
"91","7.0625","7.0625","7.0625"
"92","7.0625","7.0625","7.0625"
"93","7.09375","7.09375","7.09375"
"94","7.0625","7.0625","7.0625"
"95","7.09375","7.09375","7.09375"
"96","7.09375","7.09375","7.09375"
"97","7.09375","7.09375","7.09375"
"98","7.0625","7.0625","7.0625"
"99","7.09375","7.09375","7.09375"
"100","7.09375","7.09375","7.09375"
"101","7.03125","7.03125","7.03125"
"102","7.03125","7.03125","7.03125"
"103","7","7","7"
"104","7.0625","7.0625","7.0625"
"105","7.03125","7.03125","7.03125"
"106","6.0625","6.0625","6.0625"
"107","7.09375","7.09375","7.09375"
"108","7.03125","7.03125","7.03125"
"109","7","7","7"
"110","7.0625","7.0625","7.0625"
"111","6.9375","6.9375","6.9375"
"112","7.0625","7.0625","7.0625"
"113","7.0625","7.0625","7.0625"
"114","7.09375","7.09375","7.09375"
"115","7.09375","7.09375","7.09375"
"116","7.09375","7.09375","7.09375"
"117","7.09375","7.09375","7.09375"
"118","7.09375","7.09375","7.09375"
"119","7.09375","7.09375","7.09375"
"120","7.09375","7.09375","7.09375"
"121","7.0625","7.0625","7.0625"
"122","7.09375","7.09375","7.09375"
"123","7.09375","7.09375","7.09375"
"124","7.0625","7.0625","7.0625"
"125","7.0625","7.0625","7.0625"
"126","7.09375","7.09375","7.09375"
"127","7.09375","7.09375","7.09375"
"128","7.09375","7.09375","7.09375"
"129","7.09375","7.09375","7.09375"
"130","7.09375","7.09375","7.09375"
"131","7.0625","7.0625","7.0625"
"132","7.09375","7.09375","7.09375"
"133","7.0625","7.0625","7.0625"
"134","7.0625","7.0625","7.0625"
"135","7.0625","7.0625","7.0625"
"136","7.0625","7.0625","7.0625"
"137","7.03125","7.03125","7.03125"
"138","7.0625","7.0625","7.0625"
"139","7.0625","7.0625","7.0625"
"140","7.09375","7.09375","7.09375"
"141","7.0625","7.0625","7.0625"
"142","6.9375","6.9375","6.9375"
"143","7.0625","7.0625","7.0625"
"144","7.0625","7.0625","7.0625"
"145","7.0625","7.0625","7.0625"
"146","7.09375","7.09375","7.09375"
"147","7.09375","7.09375","7.09375"
"148","7.09375","7.09375","7.09375"
"149","7.09375","7.09375","7.09375"
"150","7.09375","7.09375","7.09375"
"151","7.09375","7.09375","7.09375"
"152","7.09375","7.09375","7.09375"
"153","7.09375","7.09375","7.09375"
"154","7.09375","7.09375","7.09375"
"155","7.09375","7.09375","7.09375"
"156","7.09375","7.09375","7.09375"
"157","7.09375","7.09375","7.09375"
"158","7.09375","7.09375","7.09375"
"159","7.09375","7.09375","7.09375"
"160","6.84375","6.84375","6.84375"
"161","6.9375","6.9375","6.9375"
"162","7.0625","7.0625","7.0625"
"163","7","7","7"
"164","7.0625","7.0625","7.0625"
