Wall time,Step,Value
1716241252.1945157,2048,-9.029411315917969
1716241269.2430315,4096,-8.25
1716241285.8576193,6144,-7.0
1716241301.1552124,8192,-6.119999885559082
1716241318.6895487,10240,-4.039999961853027
1716241337.5313358,12288,-3.180000066757202
1716241355.841781,14336,-1.4700000286102295
1716241372.2529802,16384,0.7900000214576721
1716241388.0394018,18432,1.649999976158142
1716241404.2111623,20480,1.6200000047683716
1716241420.5194385,22528,3.069999933242798
1716241437.2911649,24576,3.880000114440918
1716241453.8067176,26624,3.680000066757202
1716241469.2397876,28672,4.619999885559082
1716241483.8151696,30720,5.010000228881836
1716241499.2705548,32768,4.639999866485596
1716241515.6963906,34816,4.75
1716241531.39877,36864,5.119999885559082
1716241545.9018426,38912,5.079999923706055
1716241562.318576,40960,5.440000057220459
1716241577.7715595,43008,5.559999942779541
1716241593.526056,45056,5.090000152587891
1716241609.4792457,47104,5.389999866485596
1716241625.3197982,49152,5.599999904632568
1716241640.4984589,51200,5.699999809265137
1716241656.0184455,53248,5.630000114440918
1716241671.2313066,55296,5.78000020980835
1716241687.8264673,57344,5.480000019073486
1716241703.7467535,59392,5.650000095367432
1716241719.137575,61440,5.659999847412109
1716241733.5845077,63488,5.769999980926514
1716241749.74278,65536,5.760000228881836
1716241765.4914258,67584,5.820000171661377
1716241781.3808076,69632,5.860000133514404
1716241796.293661,71680,5.869999885559082
1716241811.4447188,73728,6.010000228881836
1716241827.0668545,75776,6.0
1716241843.2424314,77824,5.989999771118164
1716241858.903636,79872,5.96999979019165
1716241875.2257032,81920,5.960000038146973
1716241891.7327554,83968,5.949999809265137
1716241907.2440622,86016,6.0
1716241922.3653522,88064,5.980000019073486
1716241938.9363983,90112,5.989999771118164
1716241954.315116,92160,5.989999771118164
1716241969.4208522,94208,5.880000114440918
1716241984.7116475,96256,6.0
1716242000.9985533,98304,6.0
1716242016.826848,100352,6.0
1716242033.1890364,102400,6.0
1716242048.933482,104448,5.940000057220459
1716242064.9050667,106496,6.019999980926514
1716242080.8101506,108544,6.010000228881836
1716242095.9487906,110592,6.0
1716242112.314695,112640,6.0
1716242127.0187855,114688,6.0
1716242143.8097148,116736,6.0
1716242160.479157,118784,6.0
1716242176.3649883,120832,6.0
1716242191.4632547,122880,6.0
1716242207.1812742,124928,6.0
1716242223.0043166,126976,6.0
1716242238.5774677,129024,6.0
1716242253.6450999,131072,6.0
1716242269.0975342,133120,6.0
1716242284.0799055,135168,6.0
1716242298.615814,137216,6.0
1716242313.576858,139264,6.0
1716242329.0438418,141312,6.0
1716242344.3317633,143360,6.0
1716242359.8357034,145408,5.980000019073486
1716242375.1551528,147456,5.989999771118164
1716242389.9212956,149504,6.0
1716242405.6913645,151552,6.0
1716242420.2384927,153600,6.0
1716242435.1961157,155648,6.0
1716242453.2920978,157696,6.0
1716242469.7245517,159744,6.0
1716242484.3065174,161792,6.0
1716242499.3420682,163840,6.0
1716242513.9111419,165888,6.0
1716242528.530918,167936,6.0
1716242543.33357,169984,6.0
1716242558.3693962,172032,6.0
1716242573.1751885,174080,6.0
1716242588.2173073,176128,6.0
1716242603.1847937,178176,6.0
1716242618.6884716,180224,6.0
1716242634.8491976,182272,6.0
1716242650.3000588,184320,6.0
1716242665.2103112,186368,6.0
1716242679.6098156,188416,6.0
1716242694.148576,190464,6.0
1716242709.1049707,192512,6.0
1716242724.5960014,194560,6.0
1716242744.2448,196608,6.0
1716242765.6634235,198656,6.0
1716242787.4547002,200704,6.0
